Artikelname;Artikelnummer;GTIN
32GB DDR5-6000 CL26 G.Skill TZ5 Royal Neo Gold - Kit - 2x 16GB;106901;4713290000000
32GB DDR5-6000 CL30 Kingston FURY Beast RGB - Kit - 2 x 16 GB Weiﬂ;106874;740617000000
32GB DDR4 3600MHz Corsair C18 Vengeance LPX - DDR4 (2x16GB);106673;
64GB DDR5-6000 CL36 Kingston FURY Beast Dual Kit 2x32GB schwarz;106203;740617000000
32GB DDR5-6000 CL30 G.Skill Flare X5 - Kit - 2 x 16 GB;106497;4713290000000
96GB DDR5-6000 CL30  Corsair Vengeance RGB - 2x48GB;107108;840006676652
32GB DDR4 3600MHz G.Skill Ripjaws V Series - DDR4 (2x16GB);106548;4713294230089
